"Sorting.code","Mesh.size","Leaf.condition","Genus","latitude","longitude","mean_kd","mean_mean_daily_temp","Citation"
2143,"fine","senesced","Alnus",59.8,17.61,0.00645,1.1,"Bergfur et al. 2007 FAL, FWB"
2144,"fine","senesced","Alnus",59.63,16.87,0.0086,NA,"Bergfur et al. 2007 FAL, FWB"
2145,"fine","senesced","Alnus",59.74,18.49,0.0096,1.3,"Bergfur et al. 2007 FAL, FWB"
2187,"coarse","senesced","Fagus",48.5,7.18,0.00166,3.68,"Dangles and Chauvet 2003 Water Research"
2231,"fine","senesced","Alnus",41.4608,-8.0849,0.0111,9,"Duarte et al. 2009 AEM"
2232,"fine","senesced","Alnus",41.3525,-8.2237,0.0179,13,"Duarte et al. 2009 AEM"
2233,"fine","senesced","Alnus",41.3506,-8.2106,0.0144,13,"Duarte et al. 2009 AEM"
2234,"fine","senesced","Alnus",41.3137,-8.2609,0.0115,13,"Duarte et al. 2009 AEM"
2235,"fine","senesced","Alnus",41.3143,-8.1716,0.0114,11,"Duarte et al. 2009 AEM"
2237,"fine","senesced","Alnus",44.1504,1.5201,0.0263,9.4,"Duarte et al. 2009 AEM"
2238,"fine","senesced","Alnus",44.0915,1.3129,0.0274,9.9,"Duarte et al. 2009 AEM"
2239,"fine","senesced","Alnus",44.1534,1.2148,0.0276,9.7,"Duarte et al. 2009 AEM"
2242,"coarse","senesced","Quercus",35.0307,-83.2549,0.0113,9.2,"Webster et al. 2001 Int. Rev. Hydrol."
2243,"coarse","senesced","Rhododendron",35.0307,-83.2549,0.0046,9.2,"Webster et al. 2001 Int. Rev. Hydrol."
2244,"coarse","senesced","Liriodendron",33.05,-87.15,0.037,14.6,"Weyers and Suberkropp 1996 J-NABS"
2245,"coarse","senesced","Liriodendron",32.55,-87.26,0.013,14.7,"Weyers and Suberkropp 1996 J-NABS"
2246,"coarse","green","Melicytus",-41.41,172.48,0.067,15.6,"Young and Collier 2009, FWB"
2247,"coarse","green","Melicytus",-41.27,172.5,0.061,19.1,"Young and Collier 2009, FWB"
2248,"coarse","green","Melicytus",-41.2,172.47,0.052,19.3,"Young and Collier 2009, FWB"
2249,"coarse","green","Melicytus",-41.27,172.34,0.052,11.3,"Young and Collier 2009, FWB"
2250,"coarse","green","Melicytus",-41.25,172.39,0.051,15.9,"Young and Collier 2009, FWB"
2251,"coarse","green","Melicytus",-41.2,172.46,0.06,18.2,"Young and Collier 2009, FWB"
2252,"coarse","green","Melicytus",-41.15,172.49,0.039,19.5,"Young and Collier 2009, FWB"
2253,"coarse","green","Melicytus",-41.05,172.58,0.051,19.6,"Young and Collier 2009, FWB"
2254,"fine","senesced","Eucalyptus",-35.45,147.19,0.004,12.2,"Suter et al. 2011 Marine Freshwater Research"
2255,"fine","senesced","Eucalyptus",-36.45,147.19,0.0055,11.2,"Suter et al. 2011 Marine Freshwater Research"
2257,"fine","senesced","Populus",46,12.3,0.0168666666666667,11.6,"Langhans and Tockner 2006 Oecologia"
2258,"coarse","senesced","Populus",46,12.3,0.0235333333333333,11.6,"Langhans and Tockner 2006 Oecologia"
2261,"coarse","senesced","Alnus",41.093,-7.2834,0.070574358974359,10.3846153846154,"Feio et al 2010 FWB"
